metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,1.4000,1.2000,1.0000,3.0000,0.7000,2.2000,7
cargo_toml_valid,rate,10,0.3000,0.4583,0.0000,1.0000,0.0000,0.6000,3
cargo_toml_present,rate,10,0.7000,0.4583,1.0000,1.0000,0.4000,1.0000,7
tool_calls_total,count,10,6.5000,3.2016,6.0000,14.0000,4.7000,8.6000,10
write_calls,count,10,1.2000,1.3266,1.0000,4.0000,0.5000,2.1000,6
drift_empty_path,count,10,0.4000,0.9165,0.0000,3.0000,0.0000,1.0000,2
drift_path_outside_target,count,10,0.3000,0.4583,0.0000,1.0000,0.0000,0.6000,3
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.6000,0.9165,0.0000,3.0000,0.1000,1.2000,4
atlas_ws1_mask_fires,count,10,11.8000,5.8447,11.0000,28.0000,8.9000,15.9000,10
atlas_b1_drift_fires,count,10,2.4000,1.5620,2.0000,6.0000,1.5000,3.4000,10
atlas_tier5c_retries,count,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,6.3000,3.3779,6.0000,14.0000,4.4000,8.5000,10
wall_time_s,count,10,256.5018,99.9322,332.3184,360.0866,194.1570,317.7544,10
