metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,1.1000,1.1358,1.0000,3.0000,0.4000,1.8000,6
cargo_toml_valid,rate,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
cargo_toml_present,rate,10,0.6000,0.4899,1.0000,1.0000,0.3000,0.9000,6
tool_calls_total,count,10,7.5000,4.1292,7.0000,16.0000,5.1000,10.2000,10
write_calls,count,10,2.2000,2.0396,2.0000,7.0000,1.1000,3.6000,8
drift_empty_path,count,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
drift_path_outside_target,count,10,0.2000,0.6000,0.0000,2.0000,0.0000,0.6000,1
drift_path_literal_space,count,10,0.2000,0.6000,0.0000,2.0000,0.0000,0.6000,1
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.3000,0.6403,0.0000,2.0000,0.0000,0.8000,2
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,1.2000,0.9798,1.0000,3.0000,0.6000,1.8000,7
atlas_ws1_mask_fires,count,10,16.0000,8.6139,17.0000,31.0000,10.8000,21.4000,10
atlas_b1_drift_fires,count,10,4.3000,3.1639,5.0000,11.0000,2.4000,6.3000,8
atlas_tier5c_retries,count,10,0.4000,0.6633,0.0000,2.0000,0.0000,0.9000,3
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,7.1000,3.6180,7.0000,14.0000,5.0000,9.4000,10
wall_time_s,count,10,189.3150,103.0013,200.6977,349.1338,127.7856,254.6786,10
