metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,76.1000,224.6341,1.0000,750.0000,0.9000,226.0000,9
cargo_toml_valid,rate,10,0.9000,0.3000,1.0000,1.0000,0.7000,1.0000,9
cargo_toml_present,rate,10,0.9000,0.3000,1.0000,1.0000,0.7000,1.0000,9
tool_calls_total,count,10,9.3000,3.7162,11.0000,14.0000,6.9000,11.4000,10
write_calls,count,10,3.4000,1.8547,4.0000,6.0000,2.2000,4.5000,9
drift_empty_path,count,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
drift_path_outside_target,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.4000,0.9165,0.0000,3.0000,0.0000,1.0000,2
atlas_ws1_mask_fires,count,10,1.8000,1.4000,2.0000,5.0000,1.0000,2.7000,8
atlas_b1_drift_fires,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
atlas_tier5c_retries,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,10.7000,4.7127,12.0000,18.0000,7.7000,13.5000,10
wall_time_s,count,10,283.0613,108.0790,360.0470,360.0927,212.0449,345.3515,10
