metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,0.3000,0.4583,0.0000,1.0000,0.0000,0.6000,3
cargo_toml_valid,rate,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
cargo_toml_present,rate,10,0.3000,0.4583,0.0000,1.0000,0.0000,0.6000,3
tool_calls_total,count,10,4.1000,4.2297,6.0000,10.0000,1.6000,6.8000,5
write_calls,count,10,1.1000,1.6401,0.0000,5.0000,0.2000,2.2000,4
drift_empty_path,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_outside_target,count,10,0.5000,1.5000,0.0000,5.0000,0.0000,1.5000,1
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,1.1000,1.6401,0.0000,5.0000,0.2000,2.2000,4
atlas_ws1_mask_fires,count,10,8.2000,8.4238,14.0000,21.0000,3.2000,13.4000,5
atlas_b1_drift_fires,count,10,1.4000,1.6852,1.0000,5.0000,0.4000,2.5000,5
atlas_tier5c_retries,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,4.0000,4.1952,5.0000,10.0000,1.5000,6.6000,5
wall_time_s,count,10,126.5722,129.3261,174.9128,360.0484,48.7572,208.8888,10
