metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
cargo_toml_valid,rate,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
cargo_toml_present,rate,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
tool_calls_total,count,6,1.6667,1.7951,2.0000,4.0000,0.3333,3.0000,3
write_calls,count,6,0.1667,0.3727,0.0000,1.0000,0.0000,0.5000,1
drift_empty_path,count,6,0.1667,0.3727,0.0000,1.0000,0.0000,0.5000,1
drift_path_outside_target,count,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_ws1_mask_fires,count,6,1.6667,1.6997,3.0000,4.0000,0.5000,3.0000,3
atlas_b1_drift_fires,count,6,2.0000,2.8868,0.0000,7.0000,0.0000,4.3333,2
atlas_tier5c_retries,count,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_a2_fuzzy_fires,count,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,6,1.6667,1.7951,2.0000,4.0000,0.3333,3.0000,3
wall_time_s,count,6,336.5491,23.5227,360.0657,360.0753,320.8479,352.2411,6
