metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,1.7000,0.7810,2.0000,3.0000,1.2000,2.2000,10
cargo_toml_valid,rate,10,0.8000,0.4000,1.0000,1.0000,0.5000,1.0000,8
cargo_toml_present,rate,10,0.9000,0.3000,1.0000,1.0000,0.7000,1.0000,9
tool_calls_total,count,10,8.7000,3.5511,8.0000,16.0000,6.7000,11.1000,10
write_calls,count,10,2.5000,1.8028,3.0000,6.0000,1.5000,3.7000,9
drift_empty_path,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_outside_target,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
atlas_ws1_mask_fires,count,10,3.1000,1.9723,4.0000,7.0000,1.9000,4.3000,9
atlas_b1_drift_fires,count,10,0.4000,0.6633,0.0000,2.0000,0.0000,0.9000,3
atlas_tier5c_retries,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,8.7000,3.5511,8.0000,16.0000,6.7000,11.1000,10
wall_time_s,count,10,199.0913,66.6507,188.6263,306.6116,158.8730,241.1782,10
