metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,4,4.5000,5.5000,2.0000,14.0000,1.0000,10.7500,4
cargo_toml_valid,rate,4,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,4
cargo_toml_present,rate,4,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,4
tool_calls_total,count,4,9.2500,1.7854,9.0000,12.0000,7.5000,11.2500,4
write_calls,count,4,2.7500,1.0897,3.0000,4.0000,1.5000,3.7500,4
drift_empty_path,count,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_outside_target,count,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,4,0.2500,0.4330,0.0000,1.0000,0.0000,0.7500,1
atlas_ws1_mask_fires,count,4,2.7500,1.2990,2.0000,5.0000,2.0000,4.2500,4
atlas_b1_drift_fires,count,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tier5c_retries,count,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_a2_fuzzy_fires,count,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,4,9.2500,1.7854,9.0000,12.0000,7.5000,11.2500,4
wall_time_s,count,4,211.4166,46.2728,240.7433,266.9220,169.0006,253.8326,4
