metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,135.9000,403.7032,2.0000,1347.0000,0.6000,405.4000,5
cargo_toml_valid,rate,10,0.3000,0.4583,0.0000,1.0000,0.0000,0.6000,3
cargo_toml_present,rate,10,0.5000,0.5000,1.0000,1.0000,0.2000,0.8000,5
tool_calls_total,count,10,9.5000,4.0559,11.0000,17.0000,7.0000,12.1000,10
write_calls,count,10,2.7000,2.3259,2.0000,7.0000,1.3000,4.2000,8
drift_empty_path,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
drift_path_outside_target,count,10,0.3000,0.6403,0.0000,2.0000,0.0000,0.8000,2
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.6000,0.9165,0.0000,2.0000,0.0000,1.2000,3
atlas_ws1_mask_fires,count,10,16.8000,9.0200,20.0000,29.0000,11.1000,22.2000,9
atlas_b1_drift_fires,count,10,5.3000,2.9682,6.0000,12.0000,3.5000,7.2000,9
atlas_tier5c_retries,count,10,0.5000,0.8062,0.0000,2.0000,0.0000,1.0000,3
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,7.4000,3.8262,8.0000,13.0000,5.0000,9.7000,9
wall_time_s,count,10,228.8942,79.9823,210.6642,360.0877,181.7874,280.0475,10
