metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,7,3.1429,5.7428,1.0000,17.0000,0.2857,7.8571,4
cargo_toml_valid,rate,7,0.2857,0.4518,0.0000,1.0000,0.0000,0.7143,2
cargo_toml_present,rate,7,0.4286,0.4949,0.0000,1.0000,0.1429,0.8571,3
tool_calls_total,count,7,5.0000,2.2678,4.0000,9.0000,3.4286,6.7143,7
write_calls,count,7,1.1429,0.9897,1.0000,3.0000,0.4286,1.8571,5
drift_empty_path,count,7,0.5714,0.7284,0.0000,2.0000,0.1429,1.1429,3
drift_path_outside_target,count,7,0.1429,0.3499,0.0000,1.0000,0.0000,0.4286,1
drift_path_literal_space,count,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,7,0.4286,0.7284,0.0000,2.0000,0.0000,1.0000,2
atlas_ws1_mask_fires,count,7,7.4286,4.2714,8.0000,14.0000,4.2857,10.7143,7
atlas_b1_drift_fires,count,7,1.7143,1.8295,1.0000,6.0000,0.7143,3.2857,6
atlas_tier5c_retries,count,7,0.2857,0.4518,0.0000,1.0000,0.0000,0.5714,2
atlas_a2_fuzzy_fires,count,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,7,4.7143,2.1189,4.0000,8.0000,3.1429,6.2857,7
wall_time_s,count,7,315.4611,79.0080,360.0680,360.0753,251.8222,360.0715,7
