metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,0.6000,0.9165,0.0000,3.0000,0.1000,1.2000,4
cargo_toml_valid,rate,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
cargo_toml_present,rate,10,0.4000,0.4899,0.0000,1.0000,0.1000,0.7000,4
tool_calls_total,count,10,6.4000,2.1071,7.0000,11.0000,5.1000,7.8000,10
write_calls,count,10,1.9000,1.9723,2.0000,6.0000,0.7000,3.2000,6
drift_empty_path,count,10,0.5000,1.5000,0.0000,5.0000,0.0000,1.5000,1
drift_path_outside_target,count,10,0.4000,0.8000,0.0000,2.0000,0.0000,1.0000,2
drift_path_literal_space,count,10,0.4000,0.9165,0.0000,3.0000,0.0000,1.0000,2
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.2000,0.6000,0.0000,2.0000,0.0000,0.6000,1
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.9000,1.3748,0.0000,4.0000,0.1000,1.8000,4
atlas_ws1_mask_fires,count,10,14.4000,5.1225,14.0000,26.0000,11.5000,17.8000,10
atlas_b1_drift_fires,count,10,4.5000,1.8028,5.0000,7.0000,3.4000,5.6000,10
atlas_tier5c_retries,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,6.3000,2.1000,6.0000,11.0000,5.0000,7.7000,10
wall_time_s,count,10,191.3910,75.9549,187.3704,348.4648,147.7836,243.4948,10
