metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,9,1.5556,1.0657,1.0000,3.0000,0.8889,2.3333,8
cargo_toml_valid,rate,9,0.7778,0.4157,1.0000,1.0000,0.4444,1.0000,7
cargo_toml_present,rate,9,0.8889,0.3143,1.0000,1.0000,0.6667,1.0000,8
tool_calls_total,count,9,10.3333,4.8074,11.0000,16.0000,6.8889,13.2222,8
write_calls,count,9,3.1111,1.4487,4.0000,5.0000,2.1111,4.0000,8
drift_empty_path,count,9,0.3333,0.4714,0.0000,1.0000,0.1111,0.6667,3
drift_path_outside_target,count,9,1.6667,1.0541,2.0000,3.0000,1.0000,2.3333,7
drift_path_literal_space,count,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,9,0.2222,0.4157,0.0000,1.0000,0.0000,0.5556,2
atlas_ws1_mask_fires,count,9,2.5556,1.5713,3.0000,5.0000,1.5556,3.5556,8
atlas_b1_drift_fires,count,9,0.3333,0.4714,0.0000,1.0000,0.0000,0.6667,3
atlas_tier5c_retries,count,9,0.1111,0.3143,0.0000,1.0000,0.0000,0.3333,1
atlas_a2_fuzzy_fires,count,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,9,10.7778,5.6917,11.0000,21.0000,7.0000,14.4444,8
wall_time_s,count,9,262.6967,104.7853,283.0452,360.0729,187.7347,324.8620,9
