metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,1.5000,1.3601,1.0000,4.0000,0.7000,2.4000,7
cargo_toml_valid,rate,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
cargo_toml_present,rate,10,0.7000,0.4583,1.0000,1.0000,0.4000,1.0000,7
tool_calls_total,count,10,7.6000,3.9294,6.0000,18.0000,5.6000,10.3000,10
write_calls,count,10,1.5000,1.5652,1.0000,4.0000,0.6000,2.5000,6
drift_empty_path,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
drift_path_outside_target,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,1.1000,1.3748,1.0000,4.0000,0.3000,2.0000,5
atlas_ws1_mask_fires,count,10,11.8000,8.5534,10.0000,34.0000,7.3000,17.6000,9
atlas_b1_drift_fires,count,10,1.8000,2.0396,1.0000,6.0000,0.7000,3.1000,7
atlas_tier5c_retries,count,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,7.4000,3.9294,6.0000,18.0000,5.4000,10.1000,10
wall_time_s,count,10,142.6310,46.7063,125.1379,224.7146,115.4366,172.8449,10
