metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,1.2000,1.1662,1.0000,3.0000,0.5000,1.9000,6
cargo_toml_valid,rate,10,0.3000,0.4583,0.0000,1.0000,0.0000,0.6000,3
cargo_toml_present,rate,10,0.5000,0.5000,1.0000,1.0000,0.2000,0.8000,5
tool_calls_total,count,10,8.9000,3.9357,9.0000,17.0000,6.7000,11.5000,10
write_calls,count,10,2.0000,2.2804,2.0000,7.0000,0.7000,3.5000,6
drift_empty_path,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_outside_target,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.3000,0.9000,0.0000,3.0000,0.0000,0.9000,1
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,1.4000,1.4283,1.0000,4.0000,0.6000,2.3000,6
atlas_ws1_mask_fires,count,10,17.1000,7.0064,15.0000,28.0000,13.0000,21.6000,10
atlas_b1_drift_fires,count,10,1.3000,1.0050,1.0000,4.0000,0.8000,2.0000,9
atlas_tier5c_retries,count,10,0.4000,0.9165,0.0000,3.0000,0.0000,1.0000,2
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,8.3000,3.0676,9.0000,15.0000,6.6000,10.3000,10
wall_time_s,count,10,128.6058,62.2585,113.6179,303.2277,99.0153,172.3159,10
