metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,0.6000,0.9165,0.0000,3.0000,0.1000,1.2000,4
cargo_toml_valid,rate,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
cargo_toml_present,rate,10,0.4000,0.4899,0.0000,1.0000,0.1000,0.7000,4
tool_calls_total,count,10,4.2000,2.6758,4.0000,10.0000,2.6000,5.9000,9
write_calls,count,10,0.9000,1.2207,0.0000,3.0000,0.2000,1.7000,4
drift_empty_path,count,10,0.5000,0.8062,0.0000,2.0000,0.0000,1.0000,3
drift_path_outside_target,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.3000,0.4583,0.0000,1.0000,0.0000,0.6000,3
atlas_ws1_mask_fires,count,10,4.7000,3.5228,4.0000,11.0000,2.6000,6.9000,8
atlas_b1_drift_fires,count,10,1.3000,1.5524,1.0000,4.0000,0.4000,2.3000,5
atlas_tier5c_retries,count,10,0.3000,0.4583,0.0000,1.0000,0.0000,0.6000,3
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,3.9000,2.4678,4.0000,9.0000,2.4000,5.5000,9
wall_time_s,count,10,272.6220,112.7755,358.4676,360.0818,198.0501,340.5277,10
