metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,1.7000,0.9000,1.0000,3.0000,1.2000,2.3000,10
cargo_toml_valid,rate,10,0.8000,0.4000,1.0000,1.0000,0.5000,1.0000,8
cargo_toml_present,rate,10,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,10
tool_calls_total,count,10,7.9000,3.5057,8.0000,14.0000,5.7000,10.1000,10
write_calls,count,10,2.5000,1.4318,2.0000,5.0000,1.7000,3.4000,10
drift_empty_path,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
drift_path_outside_target,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.3000,0.4583,0.0000,1.0000,0.0000,0.6000,3
atlas_ws1_mask_fires,count,10,3.5000,1.3601,4.0000,6.0000,2.7000,4.3000,10
atlas_b1_drift_fires,count,10,0.5000,0.5000,1.0000,1.0000,0.2000,0.8000,5
atlas_tier5c_retries,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,7.9000,3.5057,8.0000,14.0000,5.7000,10.1000,10
wall_time_s,count,10,214.1207,85.3435,207.8483,360.0708,163.5870,269.6950,10
