metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,1.5000,1.1180,1.0000,3.0000,0.8000,2.2000,8
cargo_toml_valid,rate,10,0.3000,0.4583,0.0000,1.0000,0.0000,0.6000,3
cargo_toml_present,rate,10,0.8000,0.4000,1.0000,1.0000,0.5000,1.0000,8
tool_calls_total,count,10,7.3000,3.9256,7.0000,18.0000,5.3000,10.1000,10
write_calls,count,10,2.6000,2.3324,2.0000,6.0000,1.2000,4.1000,7
drift_empty_path,count,10,0.4000,0.6633,0.0000,2.0000,0.0000,0.8000,3
drift_path_outside_target,count,10,0.7000,1.4177,0.0000,4.0000,0.0000,1.7000,2
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.8000,1.4697,0.0000,5.0000,0.1000,1.8000,4
atlas_ws1_mask_fires,count,10,12.9000,5.7000,12.0000,27.0000,9.7000,16.8000,10
atlas_b1_drift_fires,count,10,2.8000,2.0881,4.0000,6.0000,1.6000,4.1000,9
atlas_tier5c_retries,count,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,7.1000,3.9102,7.0000,18.0000,5.1000,9.9000,10
wall_time_s,count,10,146.4032,49.3757,149.2531,232.1650,117.1944,177.0728,10
