metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,1.1000,1.0440,1.0000,3.0000,0.5000,1.8000,7
cargo_toml_valid,rate,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
cargo_toml_present,rate,10,0.7000,0.4583,1.0000,1.0000,0.4000,1.0000,7
tool_calls_total,count,10,7.1000,2.4269,7.0000,12.0000,5.6000,8.6000,10
write_calls,count,10,1.9000,1.4457,2.0000,4.0000,1.0000,2.8000,7
drift_empty_path,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
drift_path_outside_target,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,1.0000,0.7746,1.0000,2.0000,0.5000,1.5000,7
atlas_ws1_mask_fires,count,10,15.1000,6.5338,15.0000,29.0000,11.3000,19.2000,10
atlas_b1_drift_fires,count,10,3.4000,2.4980,3.0000,9.0000,2.0000,5.1000,9
atlas_tier5c_retries,count,10,0.2000,0.6000,0.0000,2.0000,0.0000,0.6000,1
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,6.9000,2.3431,7.0000,12.0000,5.5000,8.4000,10
wall_time_s,count,10,191.8997,85.4955,161.8565,359.7481,142.4997,246.9007,10
