metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,1.0000,1.0000,1.0000,3.0000,0.4000,1.6000,6
cargo_toml_valid,rate,10,0.3000,0.4583,0.0000,1.0000,0.0000,0.6000,3
cargo_toml_present,rate,10,0.6000,0.4899,1.0000,1.0000,0.3000,0.9000,6
tool_calls_total,count,10,9.8000,3.5721,11.0000,15.0000,7.6000,12.0000,10
write_calls,count,10,2.2000,2.7129,1.0000,8.0000,0.7000,4.0000,6
drift_empty_path,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
drift_path_outside_target,count,10,0.4000,1.2000,0.0000,4.0000,0.0000,1.2000,1
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.4000,0.6633,0.0000,2.0000,0.0000,0.9000,3
atlas_ws1_mask_fires,count,10,18.0000,5.1381,21.0000,26.0000,14.7000,21.0000,10
atlas_b1_drift_fires,count,10,2.5000,2.5000,2.0000,7.0000,1.1000,4.2000,8
atlas_tier5c_retries,count,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,9.5000,3.5567,11.0000,15.0000,7.3000,11.7000,10
wall_time_s,count,10,152.3282,55.3443,132.5803,293.0688,122.8058,190.9366,10
