metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,1.3000,1.1874,1.0000,3.0000,0.6000,2.1000,7
cargo_toml_valid,rate,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
cargo_toml_present,rate,10,0.6000,0.4899,1.0000,1.0000,0.3000,0.9000,6
tool_calls_total,count,10,9.2000,5.5642,8.0000,18.0000,5.9000,12.8000,10
write_calls,count,10,2.9000,3.3601,2.0000,11.0000,1.1000,5.1000,7
drift_empty_path,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
drift_path_outside_target,count,10,1.5000,2.3770,0.0000,7.0000,0.2000,3.1000,4
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.3000,0.9000,0.0000,3.0000,0.0000,0.9000,1
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,2.2000,3.3106,1.0000,11.0000,0.5000,4.5000,6
atlas_ws1_mask_fires,count,10,17.9000,9.8229,19.0000,34.0000,12.0000,23.9000,10
atlas_b1_drift_fires,count,10,2.4000,2.3324,2.0000,8.0000,1.1000,3.9000,8
atlas_tier5c_retries,count,10,0.3000,0.6403,0.0000,2.0000,0.0000,0.7000,2
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,8.9000,5.3376,7.0000,18.0000,5.8000,12.3000,10
wall_time_s,count,10,205.8183,100.6844,181.0188,360.0673,146.4915,269.8297,10
