metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,1.7000,1.5524,3.0000,4.0000,0.7000,2.6000,6
cargo_toml_valid,rate,10,0.4000,0.4899,0.0000,1.0000,0.1000,0.7000,4
cargo_toml_present,rate,10,0.5000,0.5000,1.0000,1.0000,0.2000,0.8000,5
tool_calls_total,count,10,7.1000,3.3302,8.0000,13.0000,5.1000,9.2000,10
write_calls,count,10,1.4000,1.2000,2.0000,4.0000,0.7000,2.2000,7
drift_empty_path,count,10,0.6000,1.0198,0.0000,3.0000,0.0000,1.3000,3
drift_path_outside_target,count,10,0.4000,0.6633,0.0000,2.0000,0.0000,0.8000,3
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.5000,0.8062,0.0000,2.0000,0.0000,1.0000,3
atlas_ws1_mask_fires,count,10,9.7000,7.0576,9.0000,22.0000,5.5000,14.2000,9
atlas_b1_drift_fires,count,10,2.7000,2.9343,2.0000,8.0000,1.0000,4.6000,7
atlas_tier5c_retries,count,10,0.4000,0.4899,0.0000,1.0000,0.1000,0.7000,4
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,6.7000,3.0348,7.0000,12.0000,4.8000,8.6000,10
wall_time_s,count,10,248.3310,105.3655,288.6299,360.0845,181.3739,313.5927,10
