metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,9,0.8889,1.1967,0.0000,3.0000,0.2222,1.7778,4
cargo_toml_valid,rate,9,0.2222,0.4157,0.0000,1.0000,0.0000,0.5556,2
cargo_toml_present,rate,9,0.4444,0.4969,0.0000,1.0000,0.1111,0.7778,4
tool_calls_total,count,9,4.0000,1.6330,4.0000,7.0000,3.0000,5.1111,9
write_calls,count,9,0.6667,0.8165,0.0000,2.0000,0.1111,1.2222,4
drift_empty_path,count,9,0.4444,0.6849,0.0000,2.0000,0.0000,0.8889,3
drift_path_outside_target,count,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,9,0.2222,0.4157,0.0000,1.0000,0.0000,0.5556,2
atlas_ws1_mask_fires,count,9,5.8889,4.1216,4.0000,17.0000,3.8889,8.8889,9
atlas_b1_drift_fires,count,9,0.5556,0.6849,0.0000,2.0000,0.1111,1.0000,4
atlas_tier5c_retries,count,9,0.1111,0.3143,0.0000,1.0000,0.0000,0.3333,1
atlas_a2_fuzzy_fires,count,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,9,3.8889,1.5235,4.0000,7.0000,3.0000,4.8889,9
wall_time_s,count,9,253.3780,94.0405,248.2742,360.0826,192.0589,313.3610,9
