metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,1.2000,1.4000,1.0000,4.0000,0.4000,2.1000,5
cargo_toml_valid,rate,10,0.3000,0.4583,0.0000,1.0000,0.0000,0.6000,3
cargo_toml_present,rate,10,0.5000,0.5000,1.0000,1.0000,0.2000,0.8000,5
tool_calls_total,count,10,8.2000,3.7630,9.0000,14.0000,5.7000,10.4000,9
write_calls,count,10,1.5000,1.2042,2.0000,3.0000,0.7000,2.3000,7
drift_empty_path,count,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
drift_path_outside_target,count,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
drift_path_literal_space,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
drift_lean_prefix,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
drift_bash_as_content,count,10,0.3000,0.9000,0.0000,3.0000,0.0000,0.9000,1
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.9000,1.0440,1.0000,3.0000,0.3000,1.6000,5
atlas_ws1_mask_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_b1_drift_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tier5c_retries,count,10,0.4000,0.6633,0.0000,2.0000,0.0000,0.9000,3
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,7.7000,3.6346,9.0000,14.0000,5.3000,9.8000,9
wall_time_s,count,10,169.7533,92.8261,182.0413,360.1001,114.2581,229.2027,10
