metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,1193.9000,265.9441,1160.0000,1928.0000,1058.1000,1381.8000,10
cargo_toml_valid,rate,10,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,10
cargo_toml_present,rate,10,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,10
tool_calls_total,count,10,16.8000,3.8158,18.0000,23.0000,14.5000,19.2000,10
write_calls,count,10,1.8000,0.4000,2.0000,2.0000,1.5000,2.0000,10
drift_empty_path,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_outside_target,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_ws1_mask_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_b1_drift_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tier5c_retries,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
wall_time_s,count,10,267.1420,55.8721,257.9179,360.0478,233.6751,302.7799,10
