have_atlas=True have_hf_fp8dq=True have_hf_bf16=False

  L     C_cos  C_relL2
L 0   0.99968   0.0273
L 1   0.99956   0.0305
L 2   0.99959   0.0305
L 3   0.99944   0.0350
L 4   0.99931   0.0372
L 5   0.99921   0.0403
L 6   0.99923   0.0404
L 7   0.99879   0.0495
L 8   0.99606   0.0897
L 9   0.99679   0.0811
L10   0.99766   0.0687
L11   0.99710   0.0763
L12   0.99706   0.0767
L13   0.99687   0.0790
L14   0.99724   0.0742
L15   0.99664   0.0820
L16   0.99683   0.0796
L17   0.99592   0.0905
L18   0.99441   0.1057
L19   0.99192   0.1284
L20   0.99201   0.1262
L21   0.99288   0.1194
L22   0.99261   0.1215
L23   0.99154   0.1301
L24   0.99143   0.1307
L25   0.99012   0.1404
L26   0.99195   0.1286
L27   0.99285   0.1212
L28   0.99324   0.1180
L29   0.99318   0.1177
L30   0.99271   0.1215
L31   0.99332   0.1156
L32   0.99248   0.1225
L33   0.99318   0.1166
L34   0.99410   0.1086
L35   0.99426   0.1071
L36   0.99349   0.1139
L37   0.99112   0.1331
L38   0.99055   0.1378
L39   0.99267   0.1218

=== Summary ===
  A (HF[FP8->BF16] vs HF[BF16-unquant]): (no data)
  B (Atlas[FP8-native] vs HF[BF16-unquant]): (no data)
  C (Atlas[FP8-native] vs HF[FP8->BF16]): mean=0.994975  min=0.990117 (L25)  max=0.999681  n=40
